"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Регистрация","Функциональность регистрации пользователя","Успешная регистрация","0","0","1","0","0"
"Авторизация","Функциональность входа в систему","Вход через личный кабинет","0","0","1","0","0"
"Регистрация","Функциональность регистрации пользователя","","1","0","0","0","0"
"","","","0","0","3","0","0"
"Конструктор бургеров","Разделы конструктора","Выбор раздела булок","0","0","1","0","0"
"Авторизация","Функциональность входа в систему","Вход через форму регистрации","0","0","1","0","0"
"Авторизация","Функциональность входа в систему","Негативные сценарии","1","0","0","0","0"
"Конструктор бургеров","Разделы конструктора","","0","0","1","0","0"
"Авторизация","Функциональность входа в систему","Вход через форму восстановления пароля","0","0","1","0","0"
"Конструктор бургеров","Разделы конструктора","Выбор раздела соусов","0","0","1","0","0"
"Авторизация","Функциональность входа в систему","Пользователь может войти через главную страницу","0","0","1","0","0"
