"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 20 11:09:57 SAMT 2025","Sun Jul 20 11:10:00 SAMT 2025","2329","","Тесты регистрации пользователя","","RegistrationTest","testSuccessfulUserRegistration","Регистрация нового пользователя",""
"passed","Sun Jul 20 11:08:54 SAMT 2025","Sun Jul 20 11:09:02 SAMT 2025","8104","","LoginTest","","LoginTest","testLoginViaPersonalAccountButton","Вход через кнопку 'Личный кабинет'",""
"failed","Sun Jul 20 11:09:56 SAMT 2025","Sun Jul 20 11:09:57 SAMT 2025","1318","","Тесты регистрации пользователя","","RegistrationTest","testRegistrationWithInvalidPassword","Регистрация с некорректным паролем",""
"passed","Sun Jul 20 11:10:00 SAMT 2025","Sun Jul 20 11:10:01 SAMT 2025","1761","","UserProfileTest","","UserProfileTest","testUpdateUserProfileWithoutAuth","Обновление данных пользователя без авторизации",""
"passed","Sun Jul 20 11:08:09 SAMT 2025","Sun Jul 20 11:08:25 SAMT 2025","15774","","Тесты разделов конструктора","","ConstructionTest","testBunsSectionSelection","Проверка перехода в раздел 'Булки'",""
"passed","Sun Jul 20 11:09:34 SAMT 2025","Sun Jul 20 11:09:56 SAMT 2025","22373","","LoginTest","","LoginTest","testLoginViaRegistrationForm","Вход через кнопку в форме регистрации",""
"failed","Sun Jul 20 11:09:10 SAMT 2025","Sun Jul 20 11:09:34 SAMT 2025","23872","","LoginTest","","LoginTest","testLoginWithInvalidCredentials","Вход с неверными учетными данными",""
"passed","Sun Jul 20 11:08:33 SAMT 2025","Sun Jul 20 11:08:40 SAMT 2025","6643","","Тесты разделов конструктора","","ConstructionTest","testFillingsSectionSelection","testFillingsSectionSelection",""
"passed","Sun Jul 20 11:09:02 SAMT 2025","Sun Jul 20 11:09:10 SAMT 2025","7280","","LoginTest","","LoginTest","testLoginViaPasswordResetForm","Вход через кнопку в форме восстановления пароля",""
"passed","Sun Jul 20 11:10:01 SAMT 2025","Sun Jul 20 11:10:03 SAMT 2025","1430","","UserProfileTest","","UserProfileTest","testUpdateUserProfileWithAuth","Обновление данных пользователя с авторизацией",""
"passed","Sun Jul 20 11:08:25 SAMT 2025","Sun Jul 20 11:08:33 SAMT 2025","8190","","Тесты разделов конструктора","","ConstructionTest","testSaucesSectionSelection","Проверка перехода в раздел 'Соусы'",""
"passed","Sun Jul 20 11:10:03 SAMT 2025","Sun Jul 20 11:10:04 SAMT 2025","1325","","UserProfileTest","","UserProfileTest","testGetUserProfileWithAuth","Получение данных пользователя с авторизацией",""
"passed","Sun Jul 20 11:08:40 SAMT 2025","Sun Jul 20 11:08:54 SAMT 2025","14221","","LoginTest","","LoginTest","testLoginViaMainPageButton","Успешный вход по кнопке 'Войти в аккаунт'",""
